,estimators,min_samples_split,min_samples_leaf,features,accuracy_in_sample,accuracy_out_of_sample,oob_score,public_score,private_score
27,100,10,2,,0.9677202810152661,0.9473081328751431,0.946991354266733,,
28,100,10,2,,0.9674309325123552,0.9507445589919816,0.9469450585062673,,
29,100,10,2,,0.9676855591949167,0.9473081328751431,0.9471533894283631,,
30,100,10,2,,0.9675698197937523,0.9461626575028637,0.9471418154882467,,
31,100,10,2,,0.9675813937338689,0.9473081328751431,0.9470955197277809,,
32,100,10,2,,0.9679749076978276,0.9381443298969072,0.9471649633684796,,
33,100,10,2,,0.9678707422367797,0.9495990836197021,0.9467945972847537,,
34,100,10,2,,0.9678938901170125,0.9541809851088202,0.9470492239673152,,
35,100,10,2,,0.967905464057129,0.9473081328751431,0.9471649633684796,,
36,100,10,2,,0.967639263434451,0.9541809851088202,0.9468177451649865,,
37,100,10,2,,0.9676971331350331,0.9530355097365406,0.9467135797039387,,
38,100,10,2,,0.9675813937338689,0.9507445589919816,0.9471533894283631,,
39,100,10,2,,0.9676161155542181,0.9415807560137457,0.9471533894283631,,
40,100,10,2,,0.9673383409914237,0.9461626575028637,0.9469219106260344,,
41,100,10,2,,0.9676971331350331,0.9347079037800687,0.9471881112487124,,
42,100,10,2,,0.9676045416141017,0.9553264604810997,0.9469219106260344,,
43,100,10,2,,0.9674888022129373,0.9312714776632303,0.9472807027696438,,
44,100,10,2,,0.9674888022129373,0.9427262313860252,0.9470723718475481,,
45,100,10,2,,0.9671415840094444,0.9438717067583047,0.9475469033923218,,
46,100,10,2,,0.9674540803925881,0.9518900343642611,0.9468293191051029,,
47,100,10,2,,0.9676971331350331,0.9450171821305842,0.9471996851888288,,
48,100,10,2,,0.9675235240332867,0.9495990836197021,0.9472112591289452,,
49,100,10,2,,0.9675350979734031,0.9473081328751431,0.9466788578835893,,
50,100,10,2,,0.9677087070751496,0.9450171821305842,0.9470492239673152,,
51,100,10,2,,0.9678938901170125,0.9599083619702177,0.9467367275841715,,
52,100,10,2,,0.9673036191710744,0.9495990836197021,0.9467830233446373,,
53,100,10,2,,0.9671763058297936,0.9473081328751431,0.9468871888056851,,
54,100,10,2,,0.9673846367518895,0.9369988545246277,0.9471302415481302,,
55,100,10,2,,0.9674540803925881,0.9324169530355098,0.9472112591289452,,
56,100,10,2,,0.9674656543327045,0.9461626575028637,0.9466672839434729,,
57,100,10,2,,0.9676971331350331,0.9381443298969072,0.9471186676080138,,
58,100,10,2,,0.9678591682966632,0.9461626575028637,0.9472228330690617,,
59,100,10,2,,0.9678128725361975,0.9484536082474226,0.9470376500271988,,
60,100,10,2,,0.9676739852548003,0.9599083619702177,0.9471533894283631,,
61,100,10,2,,0.9676508373745675,0.9450171821305842,0.9469682063865001,,
62,100,10,2,,0.9665397391233898,0.9495990836197021,0.9470029282068495,,
63,100,10,2,,0.9673383409914237,0.9427262313860252,0.9473154245899932,,
64,100,10,2,,0.9675698197937523,0.9553264604810997,0.9466672839434729,,
65,100,10,2,,0.9671184361292114,0.9392898052691867,0.9471302415481302,,
66,100,10,2,,0.9670605664286293,0.9335624284077892,0.9469334845661509,,
67,100,10,2,,0.9677897246559646,0.9530355097365406,0.9469682063865001,,
68,100,10,2,,0.9675698197937523,0.9553264604810997,0.9469566324463837,,
69,100,10,2,,0.9677897246559646,0.9347079037800687,0.9470145021469659,,
70,100,10,2,,0.9675929676739853,0.9484536082474226,0.9471418154882467,,
71,100,10,2,,0.9671763058297936,0.9667812142038946,0.946910336685918,,
72,100,10,2,,0.9673151931111909,0.9553264604810997,0.9468871888056851,,
73,100,10,2,,0.967639263434451,0.9495990836197021,0.9474311639911575,,
74,100,10,2,,0.9675123261035624,0.9518348623853211,0.9471308534524664,,
75,100,10,2,,0.9679289831253907,0.9392201834862385,0.9470382630031712,,
76,100,10,2,,0.9673502928172959,0.9392201834862385,0.946957246360038,,
77,100,10,2,,0.9676280641651813,0.9472477064220184,0.9471424272586283,,
