,estimators,min_samples_split,min_samples_leaf,features,accuracy_in_sample,accuracy_out_of_sample,oob_score,public_score,private_score
189,100,3,4,sqrt,0.9519455568158145,0.9346330275229358,0.9459040299993056,,
190,100,3,4,sqrt,0.9519571306219763,0.9426605504587156,0.9460660632855721,,
191,100,3,4,sqrt,0.9518529663665193,0.9392201834862385,0.9460892108978959,,
192,100,3,4,sqrt,0.9521886067452142,0.9380733944954128,0.9457651443253628,,
193,100,3,4,sqrt,0.9519802782343001,0.9506880733944955,0.9457072752945533,,
194,100,3,4,sqrt,0.9519108353973288,0.9518348623853211,0.9456146848452582,,
195,100,3,4,sqrt,0.9517372283049004,0.9518348623853211,0.9455452420082868,,
196,100,3,4,sqrt,0.9518992615911669,0.9495412844036697,0.9454989467836392,,
197,100,3,4,sqrt,0.9520612948774334,0.9415137614678899,0.9460313418670864,,
198,100,3,4,sqrt,0.9519224092034907,0.9346330275229358,0.9456262586514201,,
199,100,3,4,sqrt,0.9519455568158145,0.9564220183486238,0.945637832457582,,
200,100,4,4,sqrt,0.9519218527563338,0.9495990836197021,0.9456603511533431,,
201,100,4,4,sqrt,0.952164905498779,0.9461626575028637,0.9459844214766033,,
202,100,4,4,sqrt,0.9517135218342381,0.9461626575028637,0.9459034038957882,,
203,100,4,4,sqrt,0.9520491660976146,0.9507445589919816,0.9457413687341581,,
204,100,4,4,sqrt,0.9519565745766831,0.9347079037800687,0.945764516614391,,
205,100,4,4,sqrt,0.9519334266964503,0.9495990836197021,0.9456256293329939,,
206,100,4,4,sqrt,0.9519218527563338,0.9473081328751431,0.9457992384347403,,
207,100,4,4,sqrt,0.9519681485167996,0.9541809851088202,0.9458455341952061,,
208,100,4,4,sqrt,0.9518292612354023,0.9484536082474226,0.9454635941713637,,
209,100,4,4,sqrt,0.9520954618580804,0.9507445589919816,0.9459265517760211,,
210,100,4,4,sqrt,0.9519450006365667,0.9473081328751431,0.945683499033576,,
211,100,4,4,sqrt,0.9520375921574982,0.9358533791523482,0.9458455341952061,,
212,100,4,4,sqrt,0.9517250957743545,0.9381443298969072,0.9457413687341581,,
213,100,4,4,sqrt,0.9520954618580804,0.9495990836197021,0.9458108123748568,,
214,100,4,4,sqrt,0.9517598175947037,0.9415807560137457,0.9459034038957882,,
215,100,4,4,sqrt,0.952083887917964,0.9587628865979382,0.9457760905545075,,
216,100,4,4,sqrt,0.9520375921574982,0.9621993127147767,0.9458802560155554,,
217,100,4,4,sqrt,0.9519681485167996,0.9404352806414662,0.9459844214766033,,
218,100,4,4,sqrt,0.9520375921574982,0.9438717067583047,0.9458802560155554,,
219,100,4,4,sqrt,0.9520375921574982,0.9415807560137457,0.945949699656254,,
220,100,4,4,sqrt,0.9518292612354023,0.9484536082474226,0.9456372032731103,,
221,100,4,4,sqrt,0.9522574970197104,0.9576174112256587,0.9456950729736925,,
222,100,4,4,sqrt,0.9520144442772653,0.9369988545246277,0.9457876644946239,,
223,100,4,4,sqrt,0.9521880533790118,0.9347079037800687,0.9459034038957882,,
224,100,4,4,sqrt,0.9519450006365667,0.9461626575028637,0.9458339602550896,,
225,100,4,4,sqrt,0.9522806448999432,0.9518900343642611,0.9457066469138089,,
226,100,4,4,sqrt,0.9517713915348202,0.9553264604810997,0.9455214638719459,,
227,100,4,4,sqrt,0.9513431557505121,0.9507445589919816,0.9457182208539253,,
228,100,4,4,sqrt,0.9518755569958681,0.9381443298969072,0.9459844214766033,,
229,100,4,4,sqrt,0.9519102788162174,0.9324169530355098,0.9456950729736925,,
230,100,4,4,sqrt,0.9518639830557517,0.9392898052691867,0.9457182208539253,,
231,100,4,4,sqrt,0.9520375921574982,0.9438717067583047,0.9459612735963704,,
232,100,4,4,sqrt,0.9518639830557517,0.9450171821305842,0.9458802560155554,,
