,max_depth,min_samples_split,max_leaf_nodes,min_samples_leaf,min_impurity_decrease,accuracy_in_sample,accuracy_out_of_sample,auc
0,none,2,none,1,0.0,0.9999768521197672,0.9221076746849943,0.8443687080536914
1,none,2,none,1,0.0,0.9999768521197672,0.9106529209621993,0.8450895969550225
2,none,2,none,1,0.0,0.9999768521197672,0.9083619702176403,0.8176094872931157
3,none,2,none,1,0.0,0.9999768521197672,0.9026345933562429,0.8477311481621828
4,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378,0.8461043802423113
5,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378,0.8643004762332644
6,none,2,none,1,0.0,0.9999768521197672,0.9266895761741123,0.8751414336812906
7,none,2,none,1,0.0,0.9999768521197672,0.9095074455899198,0.8457788336299096
8,none,2,none,1,0.0,0.9999768521197672,0.8900343642611683,0.8219306010445251
9,none,2,none,1,0.0,0.9999768521197672,0.9152348224513173,0.8350051440329217
10,none,2,none,1,0.0,0.9999768521197672,0.9060710194730813,0.8500295032721811
11,none,2,none,1,0.0,0.9999768521197672,0.9186712485681557,0.8417917153383054
12,none,2,none,1,0.0,0.9999768521197672,0.9221076746849943,0.8631436314363143
13,none,2,none,1,0.0,0.9999768521197672,0.9221076746849943,0.8582251082251082
14,none,2,none,1,0.0,0.9999884260598836,0.9152348224513173,0.8362009561135277
15,none,2,none,1,0.0,0.9999768521197672,0.9117983963344788,0.8405720132527772
16,none,2,none,1,0.0,0.9999768521197672,0.9072164948453608,0.8320576683590382
17,none,2,none,1,0.0,0.9999768521197672,0.9209621993127147,0.8533021834845899
18,none,2,none,1,0.0,0.9999768521197672,0.9095074455899198,0.8534649612898076
19,none,2,none,1,0.0,0.9999768521197672,0.9095074455899198,0.8218719547846424
20,none,2,none,1,0.0,0.9999768521197672,0.9163802978235968,0.8429817568319181
21,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378,0.8439368396291141
22,none,2,none,1,0.0,0.9999768521197672,0.9014891179839634,0.8278375006879346
23,none,2,none,1,0.0,0.9999768521197672,0.9152348224513173,0.8447718609990416
24,none,2,none,1,0.0,0.9999768521197672,0.9072164948453608,0.8165572724841053
25,none,2,none,1,0.0,0.9999768521197672,0.8946162657502864,0.8201383125864453
26,none,2,none,1,0.0,0.9999768521197672,0.9014891179839634,0.8406923396492242
27,none,2,none,1,0.0,0.9999768521197672,0.9266895761741123,0.8697273662551441
28,none,2,none,1,0.0,0.9999768521197672,0.9243986254295533,0.8469465166266279
29,none,2,none,1,0.0,0.9999768521197672,0.8957617411225659,0.8500796671682749
30,none,2,none,1,0.0,0.9999768521197672,0.9095074455899198,0.8488678228052835
31,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378,0.85612968591692
32,none,2,none,1,0.0,0.9999768521197672,0.9106529209621993,0.8425471788485487
33,none,2,none,1,0.0,0.9999768521197672,0.9152348224513173,0.8737804367835329
34,none,2,none,1,0.0,0.9999768521197672,0.9060710194730813,0.8287709963291187
35,none,2,none,1,0.0,0.9999768521197672,0.9049255441008018,0.8289825970548863
36,none,2,none,1,0.0,0.9999768521197672,0.9369988545246277,0.8913489765153919
37,none,2,none,1,0.0,0.9999768521197672,0.9255441008018328,0.8610671015843431
38,none,2,none,1,0.0,0.9999768521197672,0.9163802978235968,0.8777974459476546
39,none,2,none,1,0.0,0.9999768521197672,0.9129438717067583,0.8360754414125201
40,none,2,none,1,0.0,0.9999768521197672,0.9152348224513173,0.8513802215100917
41,none,2,none,1,0.0,0.9999768521197672,0.9106529209621993,0.84567081604426
42,none,2,none,1,0.0,0.9999768521197672,0.9186712485681557,0.8573769030158482
43,none,2,none,1,0.0,0.9999768521197672,0.9232531500572738,0.8781414377556984
44,none,2,none,1,0.0,0.9999768521197672,0.9095074455899198,0.8428904387431946
45,none,2,none,1,0.0,0.9999768521197672,0.9072164948453608,0.8589260312944523
46,none,2,none,1,0.0,0.9999768521197672,0.9117983963344788,0.8366589002795899
47,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378,0.8506564769734216
48,none,2,none,1,0.0,0.9999768521197672,0.9152348224513173,0.8639167073766487
49,none,2,none,1,0.0,0.9999768521197672,0.9255441008018328,0.8777677406403693
50,none,2,none,1,0.0,0.9999768521197672,0.9072164948453608,0.8228637741568774
51,none,2,none,1,0.0,0.9999768521197672,0.9221076746849943,0.8489397070716147
52,none,2,none,1,0.0,0.9999768521197672,0.9060710194730813,0.8143895619757688
53,none,2,none,1,0.0,0.9999768521197672,0.9163802978235968,0.855080268238163
54,none,2,none,1,0.0,0.9999768521197672,0.9095074455899198,0.8371484910836762
55,none,2,none,1,0.0,0.9999768521197672,0.9209621993127147,0.8730290456431535
56,none,2,none,1,0.0,0.9999768521197672,0.9243986254295533,0.8595273818454614
57,none,2,none,1,0.0,0.9999768521197672,0.9152348224513173,0.8669323331770589
58,none,2,none,1,0.0,0.9999768521197672,0.9175257731958762,0.84800774155675
59,none,2,none,1,0.0,0.9999768521197672,0.9106529209621993,0.8593947606142729
60,none,2,none,1,0.0,0.9999768521197672,0.9186712485681557,0.8379510992081078
61,none,2,none,1,0.0,0.9999768521197672,0.9163802978235968,0.8457914868760715
62,none,2,none,1,0.0,0.9999768521197672,0.9095074455899198,0.8555597771023303
63,none,2,none,1,0.0,0.9999768521197672,0.9129438717067583,0.8507440995233113
64,none,2,none,1,0.0,0.9999768521197672,0.9060710194730813,0.8257495928728805
65,none,2,none,1,0.0,0.9999884260598836,0.9129438717067583,0.8513559391782062
66,none,2,none,1,0.0,0.9999768521197672,0.9026345933562429,0.8170266468854165
67,none,2,none,1,0.0,0.9999768521197672,0.9083619702176403,0.8428798241328774
68,none,2,none,1,0.0,0.9999884260598836,0.9152348224513173,0.8371067533557047
69,none,2,none,1,0.0,0.9999884260598836,0.9026345933562429,0.8102400883618184
70,none,2,none,1,0.0,0.9999768521197672,0.9347079037800687,0.868145012881855
71,none,2,none,1,0.0,0.9999768521197672,0.9095074455899198,0.8224028906955737
72,none,2,none,1,0.0,0.9999768521197672,0.9037800687285223,0.8346020105654994
73,none,2,none,1,0.0,0.9999768521197672,0.9232531500572738,0.8697624293514705
74,none,2,none,1,0.0,0.9999768523876762,0.9151376146788991,0.8692454715681425
75,none,2,none,1,0.0,0.9999768523876762,0.9128440366972477,0.8673993473142618
76,none,2,none,1,0.0,0.9999768523876762,0.8910550458715596,0.8016091954022988
77,none,2,none,1,0.0,0.9999768523876762,0.9071100917431193,0.8385225885225885
78,none,2,none,1,0.0,0.9999768523876762,0.9174311926605505,0.8372216061127108
79,none,2,none,1,0.0,0.9999768523876762,0.9128440366972477,0.837309680785467
80,none,2,none,1,0.0,0.9999768523876762,0.9151376146788991,0.8533277061843023
81,none,2,none,1,0.0,0.9999768523876762,0.9162844036697247,0.856390665155278
82,none,2,none,1,0.0,0.9999768523876762,0.930045871559633,0.8834306847565185
83,none,2,none,1,0.0,0.9999768523876762,0.893348623853211,0.8160453216374268
84,none,2,none,1,0.0,0.9999768523876762,0.9220183486238532,0.8663536776212831
85,none,2,none,1,0.0,0.9999768523876762,0.9059633027522935,0.8267560188632415
86,none,2,none,1,0.0,0.9999768523876762,0.9174311926605505,0.8676084249184143
87,none,2,none,1,0.0,0.9999768523876762,0.9254587155963303,0.8724801973153726
88,none,2,none,1,0.0,0.9999768523876762,0.9357798165137615,0.8847013257857888
89,none,2,none,1,0.0,0.9999768523876762,0.8956422018348624,0.8142115544622508
90,none,2,none,1,0.0,0.9999768523876762,0.9025229357798165,0.8412185312081037
91,none,2,none,1,0.0,0.9999768523876762,0.9162844036697247,0.844017094017094
92,none,2,none,1,0.0,0.9999768523876762,0.9139908256880734,0.8514642235974599
93,none,2,none,1,0.0,0.9999768523876762,0.9059633027522935,0.8392543859649123
94,none,2,none,1,0.0,0.9999768523876762,0.9231651376146789,0.8691802626343016
95,none,2,none,1,0.0,0.9999768523876762,0.9174311926605505,0.8538633021865958
96,none,2,none,1,0.0,0.9999768523876762,0.9105504587155964,0.8233029261935788
97,none,2,none,1,0.0,0.9999768523876762,0.9174311926605505,0.8547456070977302
98,none,2,none,1,0.0,0.9999768523876762,0.9139908256880734,0.8500868126573764
99,none,2,none,1,0.0,0.9999768523876762,0.9151376146788991,0.8457321614777299
100,none,2,none,2,0.0,0.9840395365794378,0.9243986254295533,0.8723888422818792
101,none,2,none,2,0.0,0.9836923183759447,0.9163802978235968,0.8574315539560212
102,none,2,none,2,0.0,0.9842131456811842,0.9117983963344788,0.8600508660719446
103,none,2,none,2,0.0,0.9837733359567598,0.9140893470790378,0.8640820386510042
104,none,2,none,2,0.0,0.9840163886992048,0.9209621993127147,0.8761136999068033
105,none,2,none,2,0.0,0.9839816668788556,0.9278350515463918,0.891090843741576
106,none,2,none,2,0.0,0.9839816668788556,0.9381443298969072,0.9040440908095482
107,none,2,none,2,0.0,0.9843636069026979,0.9152348224513173,0.8505026508411145
108,none,2,none,2,0.0,0.9837733359567598,0.9083619702176403,0.8643268124280782
109,none,2,none,2,0.0,0.9840279626393214,0.9232531500572738,0.8586915104404816
110,none,2,none,2,0.0,0.9838196317172255,0.9152348224513173,0.8771501627150162
111,none,2,none,2,0.0,0.9835302832143147,0.9163802978235968,0.8522823254560158
112,none,2,none,2,0.0,0.98409740628002,0.9198167239404352,0.8999096657633243
113,none,2,none,2,0.0,0.9840279626393214,0.9335624284077892,0.876323532167688
114,none,2,none,2,0.0,0.9841437020404856,0.9232531500572738,0.8631993195228046
115,none,2,none,2,0.0,0.9840858323399034,0.9221076746849943,0.8597544338335606
116,none,2,none,2,0.0,0.9837501880765269,0.9324169530355098,0.8714148864833796
117,none,2,none,2,0.0,0.9837617620166433,0.9312714776632303,0.864246563033516
118,none,2,none,2,0.0,0.9840626844596706,0.9232531500572738,0.8685200335222283
119,none,2,none,2,0.0,0.9842710153817664,0.9289805269186713,0.8628386279477684
120,none,2,none,2,0.0,0.9837617620166433,0.9278350515463918,0.8627312840668915
121,none,2,none,2,0.0,0.9838543535375748,0.9209621993127147,0.8780408915374511
122,none,2,none,2,0.0,0.9839006492980406,0.9129438717067583,0.8397800443947093
123,none,2,none,2,0.0,0.9839700929387392,0.9312714776632303,0.8579675902191115
124,none,2,none,2,0.0,0.9842015717410678,0.9083619702176403,0.8489794448673896
125,none,2,none,2,0.0,0.9841437020404856,0.9140893470790378,0.8436837252189949
126,none,2,none,2,0.0,0.9838427795974584,0.9106529209621993,0.8571518884453517
127,none,2,none,2,0.0,0.9838890753579241,0.9335624284077892,0.9011964639536656
128,none,2,none,2,0.0,0.9838196317172255,0.9186712485681557,0.8594413236276937
129,none,2,none,2,0.0,0.9839816668788556,0.9083619702176403,0.8777153226520314
130,none,2,none,2,0.0,0.9838775014178076,0.9060710194730813,0.8578084284302273
131,none,2,none,2,0.0,0.983831205657342,0.9198167239404352,0.8695457615670381
132,none,2,none,2,0.0,0.9836807444358283,0.9324169530355098,0.8732158252706198
