,max_depth,min_samples_split,max_leaf_nodes,min_samples_leaf,min_impurity_decrease,accuracy_in_sample,accuracy_out_of_sample,auc
0,none,10,none,8,0.0,0.9550583905278874,0.9312714776632304,0.8891649995832293
1,none,10,none,8,0.0,0.9549079293063738,0.9278350515463918,0.90305464778504
2,none,10,none,8,0.0,0.955231999629634,0.9358533791523482,0.887406751801745
3,none,10,none,8,0.0,0.955023668707538,0.9335624284077892,0.907062629167041
4,none,10,none,8,0.0,0.9554171826714968,0.9587628865979382,0.9279603806994244
5,none,10,none,8,0.0,0.9552551475098668,0.9427262313860252,0.9193840406169176
6,none,10,none,8,0.0,0.9554634784319626,0.9427262313860252,0.905710802700675
7,none,10,none,8,0.0,0.9553014432703324,0.9461626575028635,0.902096256684492
8,none,10,none,8,0.0,0.9553477390307984,0.9347079037800688,0.889910599025067
9,none,10,none,8,0.0,0.9551741299290516,0.9324169530355098,0.9228261871830338
10,none,10,none,8,0.0,0.9553708869110312,0.9347079037800688,0.9015281415462308
11,none,10,none,8,0.0,0.9553593129709148,0.9518900343642612,0.93385424168227
12,none,10,none,8,0.0,0.9552782953900996,0.9415807560137456,0.9006096321885796
13,none,10,none,8,0.0,0.9550005208273052,0.9392898052691868,0.9092302046969216
14,none,10,none,8,0.0,0.9550931123482368,0.9278350515463918,0.8722840442391916
15,none,10,none,8,0.0,0.9548037638453258,0.9541809851088202,0.9186431810254622
16,none,10,none,8,0.0,0.955289869330216,0.9381443298969072,0.8962806199648304
17,none,10,none,8,0.0,0.9553593129709148,0.9369988545246276,0.9086821238582756
18,none,10,none,8,0.0,0.9550352426476544,0.9312714776632304,0.9125769918537652
19,none,10,none,8,0.0,0.9555213481325447,0.9301260022909508,0.8971685689201054
20,none,10,none,8,0.0,0.9558917142162706,0.9095074455899198,0.8908123687862507
21,none,10,none,8,0.0,0.9552088517494012,0.9347079037800688,0.9085413953147072
22,none,10,none,8,0.0,0.9555097741924284,0.9530355097365406,0.9509332354807998
23,none,10,none,8,0.0,0.9549773729470724,0.9358533791523482,0.9017325848936844
24,none,10,none,8,0.0,0.9554403305517296,0.9347079037800688,0.9009078738180908
25,none,10,none,8,0.0,0.9548847814261407,0.9530355097365406,0.9382801664355064
26,none,10,none,8,0.0,0.9549773729470724,0.9415807560137456,0.9020956358922656
27,none,10,none,8,0.0,0.954965799006956,0.9415807560137456,0.8977187337430876
28,none,10,none,8,0.0,0.9551162602284696,0.9335624284077892,0.9008668056081848
29,none,10,none,8,0.0,0.9549773729470724,0.9369988545246276,0.8879403541472507
30,none,10,none,8,0.0,0.955069964468004,0.9404352806414662,0.910741502819692
31,none,10,none,8,0.0,0.9552551475098668,0.9404352806414662,0.9028454492301696
32,none,10,none,8,0.0,0.9556255135935928,0.9415807560137456,0.9148396082307486
33,none,10,none,8,0.0,0.9551046862883532,0.9438717067583048,0.910331045699778
34,none,10,none,8,0.0,0.955023668707538,0.9450171821305842,0.9024038944093145
35,none,10,none,8,0.0,0.9554634784319626,0.9415807560137456,0.9052293485897822
36,none,10,none,8,0.0,0.954965799006956,0.9404352806414662,0.8751309542384593
37,none,10,none,8,0.0,0.955289869330216,0.9392898052691868,0.9137636551257872
38,none,10,none,8,0.0,0.9548269117255588,0.9358533791523482,0.9057461873638344
39,none,10,none,8,0.0,0.9549773729470724,0.9530355097365406,0.9321994408201304
40,none,10,none,8,0.0,0.9552435735697504,0.9324169530355098,0.8801216211205458
41,none,10,none,8,0.0,0.9549195032464902,0.9289805269186712,0.9210982849061876
42,none,10,none,8,0.0,0.9556718093540584,0.9450171821305842,0.9014059234552784
43,none,10,none,8,0.0,0.9556486614738255,0.9198167239404352,0.8772461715499691
44,none,10,none,8,0.0,0.9548384856656752,0.9438717067583048,0.945465789621634
45,none,10,none,8,0.0,0.9551509820488188,0.9312714776632304,0.9140242874009108
46,none,10,none,8,0.0,0.9548269117255588,0.9404352806414662,0.904485938220378
47,none,10,none,8,0.0,0.9548153377854424,0.9369988545246276,0.9077312909617437
48,none,10,none,8,0.0,0.9552435735697504,0.9369988545246276,0.9140054744525548
49,none,10,none,8,0.0,0.9548500596057916,0.9209621993127148,0.891301678264429
50,none,10,none,8,0.0,0.9549195032464902,0.9392898052691868,0.897436655821749
51,none,10,none,8,0.0,0.9547921899052094,0.9392898052691868,0.9297145855587412
52,none,10,none,8,0.0,0.9553824608511476,0.9335624284077892,0.8953322938998246
53,none,10,none,8,0.0,0.9555329220726612,0.9255441008018328,0.8757121035133435
54,none,10,none,8,0.0,0.9549542250668396,0.9278350515463918,0.892053602084301
55,none,10,none,8,0.0,0.9554866263121956,0.9347079037800688,0.9230459414003718
56,none,10,none,8,0.0,0.9553014432703324,0.9530355097365406,0.9269709543568464
57,none,10,none,8,0.0,0.9551509820488188,0.9518900343642612,0.9278100775193798
58,none,10,none,8,0.0,0.9552204256895176,0.9358533791523482,0.8929303189734508
59,none,10,none,8,0.0,0.9555444960127776,0.9255441008018328,0.882371854613234
60,none,10,none,8,0.0,0.9551046862883532,0.9518900343642612,0.9131716047300462
61,none,10,none,8,0.0,0.955394034791264,0.9473081328751431,0.8919579353789879
62,none,10,none,8,0.0,0.9555097741924284,0.9255441008018328,0.9106140256767872
63,none,10,none,8,0.0,0.9553245911505652,0.9473081328751431,0.9089450253649446
64,none,10,none,8,0.0,0.9553130172104488,0.9369988545246276,0.9184239733629302
65,none,10,none,8,0.0,0.9553245911505652,0.9301260022909508,0.8875158679784194
66,none,10,none,8,0.0,0.9551162602284696,0.9266895761741124,0.9043121478773716
67,none,10,none,8,0.0,0.9550931123482368,0.949599083619702,0.909944455271877
68,none,10,none,8,0.0,0.9551046862883532,0.9404352806414662,0.9249025531085558
69,none,10,none,8,0.0,0.9552667214499831,0.9404352806414662,0.9085287007364928
70,none,10,none,8,0.0,0.955660235413942,0.9255441008018328,0.8881111433002165
71,none,10,none,8,0.0,0.9550931123482368,0.9507445589919816,0.938334521492842
72,none,10,none,8,0.0,0.9551972778092848,0.9392898052691868,0.9070638222536956
73,none,10,none,8,0.0,0.9551394081087023,0.9369988545246276,0.9080748770450666
74,none,10,none,8,0.0,0.955730191430754,0.9128440366972476,0.8896969538136297
75,none,10,none,8,0.0,0.9549778940302308,0.9472477064220184,0.9277451128197396
76,none,10,none,8,0.0,0.9554408462767066,0.9220183486238532,0.8822155898876405
77,none,10,none,8,0.0,0.9551630749288212,0.948394495412844,0.92375899152482
