,estimators,features,accuracy_in_sample,accuracy_out_of_sample,oob_score,public_score,private_score
0,1,sqrt,0.9369220263654355,0.9083619702176403,0.8639830557516696,,
1,1,sqrt,0.9394567192509345,0.9243986254295533,0.8658811819307647,,
2,1,sqrt,0.938959039825928,0.9186712485681557,0.8657654425296003,,
3,1,sqrt,0.9380562724968461,0.9129438717067583,0.8647122139790049,,
4,1,sqrt,0.9392831101491881,0.9221076746849943,0.8667608013796136,,
5,1,sqrt,0.9390979271073251,0.9117983963344788,0.8661010867929769,,
6,1,sqrt,0.9409844793463039,0.9232531500572738,0.8670154280621752,,
7,1,sqrt,0.9373039663892779,0.9232531500572738,0.8645849006377241,,
8,1,sqrt,0.9396650501730304,0.9129438717067583,0.8671195935232231,,
9,1,sqrt,0.9377784979340517,0.9312714776632303,0.8650131364220321,,
10,1,sqrt,0.939121074987558,0.9140893470790378,0.866714505619148,,
11,1,sqrt,0.9387622828439486,0.9289805269186713,0.8653487806854088,,
12,1,sqrt,0.9417946551544543,0.9312714776632303,0.8679529172116064,,
13,1,sqrt,0.9377437761137024,0.9152348224513173,0.8653140588650594,,
14,1,sqrt,0.9394567192509345,0.9117983963344788,0.8658464601104154,,
15,1,sqrt,0.9362738857189153,0.9255441008018328,0.8642492563743476,,
16,1,sqrt,0.9397923635143112,0.9392898052691867,0.8667260795592644,,
17,1,sqrt,0.9387854307241814,0.9266895761741123,0.8671311674633395,,
18,1,sqrt,0.9392599622689553,0.9152348224513173,0.8652446152243608,,
19,1,sqrt,0.9377553500538188,0.9186712485681557,0.8667029316790315,,
20,1,sqrt,0.9406604090230437,0.9117983963344788,0.8668996886610109,,
21,1,sqrt,0.9385770998020856,0.9289805269186713,0.8659737734516961,,
22,1,sqrt,0.940961331466071,0.9381443298969072,0.867489959606949,,
23,1,sqrt,0.9393988495503525,0.9335624284077892,0.8663672874156549,,
24,1,sqrt,0.9403594865800164,0.9152348224513173,0.866795523199963,,
25,1,sqrt,0.9378247936945174,0.9083619702176403,0.8660316431522783,,
26,1,sqrt,0.9398733810951262,0.9152348224513173,0.8664367310563535,,
27,1,sqrt,0.9386233955625514,0.9243986254295533,0.866182104373792,,
28,1,sqrt,0.9371303572875314,0.9106529209621993,0.8646196224580734,,
29,1,sqrt,0.9393178319695374,0.9278350515463918,0.8660779389127441,,
30,1,sqrt,0.9359961111561209,0.9221076746849943,0.864156664853416,,
31,1,sqrt,0.9385770998020856,0.9312714776632303,0.8655455376673881,,
32,1,sqrt,0.9409729054061874,0.9312714776632303,0.8671427414034559,,
33,1,sqrt,0.938935891945695,0.9324169530355098,0.8670038541220588,,
34,1,sqrt,0.9390632052869758,0.9152348224513173,0.8664367310563535,,
35,1,sqrt,0.9391557968079073,0.9117983963344788,0.8659390516313469,,
36,1,sqrt,0.9373734100299765,0.9175257731958762,0.8651288758231965,,
37,1,sqrt,0.938588673742202,0.9324169530355098,0.8663209916551892,,
38,1,sqrt,0.9381372900776611,0.9347079037800687,0.8650941540028472,,
39,1,sqrt,0.9400238423166398,0.9324169530355098,0.8662399740743741,,
40,1,sqrt,0.9393409798497703,0.9324169530355098,0.8671543153435725,,
41,1,sqrt,0.9362738857189153,0.9060710194730813,0.8632191757039849,,
42,1,sqrt,0.9404983738614137,0.9255441008018328,0.8675825511278805,,
43,1,sqrt,0.9377900718741681,0.9266895761741123,0.8665408965174014,,
44,1,sqrt,0.9352553789886691,0.9175257731958762,0.8644344394162105,,
45,1,sqrt,0.9382646034189419,0.9129438717067583,0.8664946007569356,,
46,1,sqrt,0.9388433004247636,0.9198167239404352,0.8665524704575178,,
47,1,sqrt,0.9381372900776611,0.9129438717067583,0.8662168261941413,,
48,1,sqrt,0.9391789446881402,0.9461626575028637,0.8656959988889017,,
49,1,sqrt,0.9391789446881402,0.9301260022909508,0.8640177775720188,,
50,1,sqrt,0.9400122683765234,0.9335624284077892,0.8666219140982164,,
51,1,sqrt,0.940162729598037,0.9037800687285223,0.8665177486371686,,
52,1,sqrt,0.9379405330956818,0.9243986254295533,0.8643302739551626,,
53,1,sqrt,0.9380099767363803,0.9198167239404352,0.8658233122301825,,
54,1,sqrt,0.9395261628916332,0.9198167239404352,0.8656265552482032,,
55,1,sqrt,0.9411349405678175,0.9095074455899198,0.8671774632238053,,
56,1,sqrt,0.9382530294788255,0.9152348224513173,0.8656149813080867,,
57,1,sqrt,0.940880313885256,0.9312714776632303,0.8678024559900928,,
58,1,sqrt,0.9398618071550098,0.9289805269186713,0.8667723753197301,,
59,1,sqrt,0.9345956644020323,0.9198167239404352,0.8630571405423548,,
60,1,sqrt,0.9413201236096804,0.9392898052691867,0.8675478293075312,,
61,1,sqrt,0.9392715362090717,0.9209621993127147,0.8664946007569356,,
62,1,sqrt,0.9364937905811276,0.9198167239404352,0.8645154569970255,,
63,1,sqrt,0.9402784689992014,0.9221076746849943,0.8669228365412437,,
64,1,sqrt,0.941227532088749,0.9163802978235968,0.8670385759424081,,
65,1,sqrt,0.9412854017893312,0.9163802978235968,0.868797814840106,,
66,1,sqrt,0.9382183076584761,0.9209621993127147,0.8655918334278538,,
67,1,sqrt,0.940961331466071,0.9129438717067583,0.8671543153435725,,
68,1,sqrt,0.9377900718741681,0.9186712485681557,0.8658233122301825,,
69,1,sqrt,0.9382877512991747,0.9140893470790378,0.8651520237034294,,
70,1,sqrt,0.9375354451916066,0.9014891179839634,0.864156664853416,,
71,1,sqrt,0.9400701380771056,0.9289805269186713,0.8662168261941413,,
72,1,sqrt,0.9359845372160045,0.9152348224513173,0.8644575872964433,,
73,1,sqrt,0.9386581173829006,0.9301260022909508,0.8655339637272716,,
74,1,sqrt,0.937420430082637,0.911697247706422,0.8662299483808246,,
75,1,sqrt,0.9401171269183584,0.9208715596330275,0.866727622045786,,
76,1,sqrt,0.9363324923034189,0.9323394495412844,0.864748501192102,,
77,1,sqrt,0.941251359922224,0.9392201834862385,0.8662646697993102,,
78,1,sqrt,0.9398625031827967,0.9243119266055045,0.8651883058262541,,
79,1,sqrt,0.9367491493252471,0.9220183486238532,0.8651651582139303,,
80,1,sqrt,0.940383324460082,0.9231651376146789,0.8681627740098609,,
81,1,sqrt,0.9406610958079674,0.9139908256880734,0.8672368695169094,,
82,1,sqrt,0.9358232448322955,0.911697247706422,0.8643549917825977,,
83,1,sqrt,0.9398740769889586,0.911697247706422,0.866727622045786,,
84,1,sqrt,0.9383579083817504,0.9128440366972477,0.8661373579315294,,
85,1,sqrt,0.9400013888567395,0.9174311926605505,0.8674799194463091,,
86,1,sqrt,0.939052336751464,0.911697247706422,0.866727622045786,,
87,1,sqrt,0.9378255132983033,0.9254587155963303,0.8641350894655216,,
88,1,sqrt,0.9410893266359575,0.930045871559633,0.8668086386889192,,
89,1,sqrt,0.9376056109812273,0.926605504587156,0.8665655887595195,,
90,1,sqrt,0.9381611536769983,0.9243119266055045,0.8649105344783685,,
91,1,sqrt,0.941251359922224,0.9323394495412844,0.8681627740098609,,
92,1,sqrt,0.9396773222842064,0.9162844036697247,0.8665771625656814,,
93,1,sqrt,0.9371658063470752,0.9174311926605505,0.8640656466285502,,
94,1,sqrt,0.938728270178931,0.9231651376146789,0.8656165366542441,,
95,1,sqrt,0.9372236753778848,0.930045871559633,0.8647600749982639,,
96,1,sqrt,0.9400824054998727,0.9277522935779816,0.8663572602486054,,
97,1,sqrt,0.9377213490428462,0.9277522935779816,0.8648063702229115,,
98,1,sqrt,0.9359158352815907,0.9162844036697247,0.8639614823730932,,
99,1,sqrt,0.9376519062058749,0.9197247706422018,0.8649799773153399,,
100,2,sqrt,0.9502899271999167,0.9301260022909508,0.8890522100438653,,
101,2,sqrt,0.9507760326848069,0.9461626575028637,0.890672561660166,,
102,2,sqrt,0.9501510399185195,0.9232531500572738,0.8881378687746669,,
103,2,sqrt,0.9517019478941215,0.9347079037800687,0.8902443258758579,,
104,2,sqrt,0.9503940926609645,0.9450171821305842,0.8892026712653789,,
105,2,sqrt,0.9495839168528142,0.9278350515463918,0.8873739887269824,,
106,2,sqrt,0.9495144732121156,0.9518900343642611,0.8895614634089883,,
107,2,sqrt,0.9504751102417797,0.9347079037800687,0.8906262658997003,,
108,2,sqrt,0.9515283387923751,0.9289805269186713,0.8894920197682897,,
109,2,sqrt,0.9499658568766565,0.9301260022909508,0.8881031469543177,,
110,2,sqrt,0.9490052198469925,0.9381443298969072,0.8867258480804621,,
111,2,sqrt,0.9499890047568894,0.9335624284077892,0.8892952627863103,,
112,2,sqrt,0.9509264939063206,0.9495990836197021,0.8898276640316664,,
113,2,sqrt,0.9511116769481834,0.9369988545246277,0.8885313827386258,,
114,2,sqrt,0.9513431557505121,0.9335624284077892,0.8897466464508512,,
115,2,sqrt,0.9511348248284164,0.9450171821305842,0.8890174882235159,,
116,2,sqrt,0.9499658568766565,0.9495990836197021,0.8878022245112904,,
117,2,sqrt,0.9497228041342114,0.9381443298969072,0.8896540549299198,,
118,2,sqrt,0.9508223284452726,0.9324169530355098,0.8889017488223516,,
119,2,sqrt,0.9485306883022188,0.9278350515463918,0.8868763093019757,,
120,2,sqrt,0.9515630606127244,0.9117983963344788,0.8890637839839817,,
121,2,sqrt,0.9502899271999167,0.9404352806414662,0.889526741588639,,
122,2,sqrt,0.9494797513917663,0.9507445589919816,0.8868184396013935,,
123,2,sqrt,0.9499890047568894,0.9484536082474226,0.8880221293735027,,
124,2,sqrt,0.9508801981458548,0.9369988545246277,0.8896193331095705,,
125,2,sqrt,0.9508107545051562,0.9186712485681557,0.8896887767502691,,
126,2,sqrt,0.9513547296906286,0.9312714776632303,0.8878485202717561,,
127,2,sqrt,0.9511579727086492,0.9530355097365406,0.8887975833613037,,
128,2,sqrt,0.9504635363016631,0.9186712485681557,0.8889827664031666,,
129,2,sqrt,0.9505329799423617,0.9243986254295533,0.8892836888461939,,
130,2,sqrt,0.9503825187208481,0.9438717067583047,0.8889827664031666,,
131,2,sqrt,0.9501163180981702,0.9392898052691867,0.8873971366072152,,
132,2,sqrt,0.9499890047568894,0.9381443298969072,0.888218886355482,,
133,2,sqrt,0.9504056666010811,0.9335624284077892,0.8892605409659611,,
134,2,sqrt,0.9501510399185195,0.9438717067583047,0.8895961852293376,,
135,2,sqrt,0.951181120588882,0.9289805269186713,0.8896424809898034,,
136,2,sqrt,0.9507413108644576,0.9392898052691867,0.8894572979479404,,
137,2,sqrt,0.9510653811877178,0.9381443298969072,0.8885892524392078,,
138,2,sqrt,0.9497343780743278,0.9450171821305842,0.8889596185229338,,
139,2,sqrt,0.9519565745766831,0.9404352806414662,0.8903369173967894,,
140,2,sqrt,0.9509727896667862,0.9415807560137457,0.8905336743787687,,
141,2,sqrt,0.9503825187208481,0.9289805269186713,0.889711924630502,,
142,2,sqrt,0.9494334556313005,0.9438717067583047,0.8884272172775778,,
143,2,sqrt,0.949711230194095,0.9301260022909508,0.8893878543072418,,
144,2,sqrt,0.9509727896667862,0.9461626575028637,0.8900244210136457,,
145,2,sqrt,0.9496765083737456,0.9289805269186713,0.8891910973252625,,
146,2,sqrt,0.9512158424092314,0.9404352806414662,0.8886934179002558,,
147,2,sqrt,0.9503362229603824,0.9278350515463918,0.8908230228816796,,
148,2,sqrt,0.9501626138586359,0.9530355097365406,0.8895151676485226,,
149,2,sqrt,0.9495839168528142,0.9530355097365406,0.8884387912176942,,
150,2,sqrt,0.950833902385389,0.9415807560137457,0.8898392379717828,,
151,2,sqrt,0.9502783532598003,0.9289805269186713,0.8895846112892212,,
152,2,sqrt,0.9509843636069027,0.9473081328751431,0.8889596185229338,,
153,2,sqrt,0.9508917720859712,0.9358533791523482,0.8912512586659876,,
154,2,sqrt,0.9502320574993345,0.9473081328751431,0.8888554530618858,,
155,2,sqrt,0.9494681774516499,0.9358533791523482,0.886031411673476,,
156,2,sqrt,0.951100103008067,0.9324169530355098,0.8902674737560908,,
157,2,sqrt,0.9507181629842247,0.9450171821305842,0.8888901748822352,,
158,2,sqrt,0.9496533604935128,0.9392898052691867,0.8898855337322484,,
159,2,sqrt,0.9500237265772387,0.9427262313860252,0.8893299846066597,,
160,2,sqrt,0.9504056666010811,0.9473081328751431,0.8879642596729205,,
161,2,sqrt,0.949526047152232,0.9392898052691867,0.8891679494450295,,
162,2,sqrt,0.950938067846437,0.9369988545246277,0.8876633372298932,,
163,2,sqrt,0.9504056666010811,0.9347079037800687,0.8901170125345772,,
164,2,sqrt,0.9504056666010811,0.9369988545246277,0.8880452772537355,,
165,2,sqrt,0.9505561278225947,0.9324169530355098,0.8894920197682897,,
166,2,sqrt,0.9514125993912107,0.9335624284077892,0.8902327519357415,,
167,2,sqrt,0.9496417865533964,0.9335624284077892,0.8886355481996736,,
168,2,sqrt,0.9480793046376778,0.9198167239404352,0.8863670559368526,,
169,2,sqrt,0.9494103077510677,0.9266895761741123,0.8890522100438653,,
170,2,sqrt,0.9507644587446905,0.9381443298969072,0.8898276640316664,,
171,2,sqrt,0.9508107545051562,0.9427262313860252,0.8891910973252625,,
172,2,sqrt,0.9502089096191016,0.9289805269186713,0.8892026712653789,,
173,2,sqrt,0.9503362229603824,0.9392898052691867,0.8893878543072418,,
174,2,sqrt,0.9501979120853684,0.926605504587156,0.8900488414620032,,
175,2,sqrt,0.9489710886322076,0.9357798165137615,0.8869123399921298,,
176,2,sqrt,0.9511238165783199,0.9495412844036697,0.8897479225017939,,
177,2,sqrt,0.9499432883498067,0.948394495412844,0.888324344343881,,
178,2,sqrt,0.9498969931251592,0.9438073394495413,0.8879539825467003,,
179,2,sqrt,0.948589153028865,0.9220183486238532,0.8869470614106155,,
180,2,sqrt,0.9508576190365964,0.9334862385321101,0.8890534941320802,,
181,2,sqrt,0.9500358787991019,0.9311926605504587,0.8878035230665957,,
182,2,sqrt,0.9508923404550821,0.9357798165137615,0.8906854008009074,,
183,2,sqrt,0.9509617832920534,0.9277522935779816,0.8903729080345363,,
184,2,sqrt,0.9501747644730446,0.9346330275229358,0.8884053609870142,,
