,max_depth,min_samples_split,max_leaf_nodes,min_samples_leaf,min_impurity_decrease,accuracy_in_sample,accuracy_out_of_sample
0,none,2,none,1,0.0,0.9999768521197672,0.9255441008018328
1,none,2,none,1,0.0,0.9999768521197672,0.9060710194730812
2,none,2,none,1,0.0,0.9999768521197672,0.9186712485681556
3,none,2,none,1,0.0,0.9999768521197672,0.9095074455899198
4,none,2,none,1,0.0,0.9999768521197672,0.9060710194730812
5,none,2,none,1,0.0,0.9999768521197672,0.9083619702176404
6,none,2,none,1,0.0,0.9999768521197672,0.9324169530355098
7,none,2,none,1,0.0,0.9999768521197672,0.9026345933562429
8,none,2,none,1,0.0,0.9999768521197672,0.9175257731958762
9,none,2,none,1,0.0,0.9999768521197672,0.9060710194730812
10,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378
11,none,2,none,1,0.0,0.9999768521197672,0.9117983963344788
12,none,2,none,1,0.0,0.9999768521197672,0.9175257731958762
13,none,2,none,1,0.0,0.9999768521197672,0.9243986254295532
14,none,2,none,1,0.0,0.9999768521197672,0.9152348224513172
15,none,2,none,1,0.0,0.9999768521197672,0.9186712485681556
16,none,2,none,1,0.0,0.9999768521197672,0.9095074455899198
17,none,2,none,1,0.0,0.9999768521197672,0.9255441008018328
18,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378
19,none,2,none,1,0.0,0.9999768521197672,0.9175257731958762
20,none,2,none,1,0.0,0.9999768521197672,0.9014891179839634
21,none,2,none,1,0.0,0.9999768521197672,0.9095074455899198
22,none,2,none,1,0.0,0.9999768521197672,0.9335624284077892
23,none,2,none,1,0.0,0.9999768521197672,0.9060710194730812
24,none,2,none,1,0.0,0.9999768521197672,0.9026345933562429
25,none,2,none,1,0.0,0.9999768521197672,0.9106529209621992
26,none,2,none,1,0.0,0.9999768521197672,0.9117983963344788
27,none,2,none,1,0.0,0.9999768521197672,0.8911798396334479
28,none,2,none,1,0.0,0.9999768521197672,0.9163802978235968
29,none,2,none,1,0.0,0.9999768521197672,0.9060710194730812
30,none,2,none,1,0.0,0.9999768521197672,0.9152348224513172
31,none,2,none,1,0.0,0.9999768521197672,0.9072164948453608
32,none,2,none,1,0.0,0.9999768521197672,0.9060710194730812
33,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378
34,none,2,none,1,0.0,0.9999768521197672,0.9037800687285223
35,none,2,none,1,0.0,0.9999768521197672,0.9198167239404352
36,none,2,none,1,0.0,0.9999768521197672,0.9014891179839634
37,none,2,none,1,0.0,0.9999768521197672,0.9152348224513172
38,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378
39,none,2,none,1,0.0,0.9999768521197672,0.9175257731958762
40,none,2,none,1,0.0,0.9999768521197672,0.9049255441008018
41,none,2,none,1,0.0,0.9999884260598836,0.9152348224513172
42,none,2,none,1,0.0,0.9999768521197672,0.9209621993127148
43,none,2,none,1,0.0,0.9999768521197672,0.9289805269186712
44,none,2,none,1,0.0,0.9999768521197672,0.9117983963344788
45,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378
46,none,2,none,1,0.0,0.9999768521197672,0.9152348224513172
47,none,2,none,1,0.0,0.9999768521197672,0.9129438717067584
48,none,2,none,1,0.0,0.9999768521197672,0.9198167239404352
49,none,2,none,1,0.0,0.9999768521197672,0.9129438717067584
50,none,2,none,1,0.0,0.9999884260598836,0.9140893470790378
51,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378
52,none,2,none,1,0.0,0.9999768521197672,0.9198167239404352
53,none,2,none,1,0.0,0.9999768521197672,0.9163802978235968
54,none,2,none,1,0.0,0.9999884260598836,0.9289805269186712
55,none,2,none,1,0.0,0.9999768521197672,0.9060710194730812
56,none,2,none,1,0.0,0.9999768521197672,0.9026345933562429
57,none,2,none,1,0.0,0.9999768521197672,0.9209621993127148
58,none,2,none,1,0.0,0.9999768521197672,0.9129438717067584
59,none,2,none,1,0.0,0.9999768521197672,0.9266895761741124
60,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378
61,none,2,none,1,0.0,0.9999768521197672,0.9209621993127148
62,none,2,none,1,0.0,0.9999768521197672,0.8980526918671249
63,none,2,none,1,0.0,0.9999768521197672,0.9049255441008018
64,none,2,none,1,0.0,0.9999884260598836,0.9049255441008018
65,none,2,none,1,0.0,0.9999768521197672,0.9117983963344788
66,none,2,none,1,0.0,0.9999768521197672,0.9152348224513172
67,none,2,none,1,0.0,0.9999768521197672,0.9301260022909508
68,none,2,none,1,0.0,0.9999768521197672,0.9152348224513172
69,none,2,none,1,0.0,0.9999768521197672,0.9060710194730812
70,none,2,none,1,0.0,0.9999768521197672,0.9232531500572738
71,none,2,none,1,0.0,0.9999768521197672,0.9163802978235968
72,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378
73,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378
74,none,2,none,1,0.0,0.9999768523876762,0.9105504587155964
75,none,2,none,1,0.0,0.9999768523876762,0.9243119266055044
76,none,2,none,1,0.0,0.9999768523876762,0.9105504587155964
77,none,2,none,1,0.0,0.9999768523876762,0.8990825688073395
78,none,2,none,1,0.0,0.9999768523876762,0.9036697247706422
79,none,2,none,1,0.0,0.9999768523876762,0.9071100917431192
80,none,2,none,1,0.0,0.9999768523876762,0.9197247706422018
81,none,2,none,1,0.0,0.9999768523876762,0.911697247706422
82,none,2,none,1,0.0,0.9999768523876762,0.9059633027522936
83,none,2,none,1,0.0,0.9999768523876762,0.9162844036697247
84,none,2,none,1,0.0,0.9999768523876762,0.8910550458715596
85,none,2,none,1,0.0,0.9999768523876762,0.9185779816513762
86,none,2,none,1,0.0,0.9999768523876762,0.9036697247706422
87,none,2,none,1,0.0,0.9999768523876762,0.9174311926605504
88,none,2,none,1,0.0,0.9999768523876762,0.9105504587155964
89,none,2,none,1,0.0,0.9999768523876762,0.9220183486238532
90,none,2,none,1,0.0,0.9999768523876762,0.9105504587155964
91,none,2,none,1,0.0,0.9999768523876762,0.9208715596330276
92,none,2,none,1,0.0,0.9999768523876762,0.9162844036697247
93,none,2,none,1,0.0,0.9999768523876762,0.8956422018348624
94,none,2,none,1,0.0,0.9999768523876762,0.9128440366972476
95,none,2,none,1,0.0,0.9999768523876762,0.9002293577981652
96,none,2,none,1,0.0,0.9999768523876762,0.9243119266055044
97,none,2,none,1,0.0,0.9999768523876762,0.9197247706422018
98,none,2,none,1,0.0,0.9999768523876762,0.9162844036697247
99,none,2,none,1,0.0,0.9999768523876762,0.9002293577981652
100,none,3,none,1,0.0,0.9961111561208782,0.9255441008018328
101,none,3,none,1,0.0,0.9963310609830904,0.9026345933562429
102,none,3,none,1,0.0,0.9961343040011112,0.9198167239404352
103,none,3,none,1,0.0,0.9963079131028576,0.9152348224513172
104,none,3,none,1,0.0,0.9958796773185496,0.9106529209621992
105,none,3,none,1,0.0,0.9963542088633234,0.9083619702176404
106,none,3,none,1,0.0,0.9963310609830904,0.9335624284077892
107,none,3,none,1,0.0,0.9963773567435562,0.9072164948453608
108,none,3,none,1,0.0,0.9962963391627412,0.9221076746849944
109,none,3,none,1,0.0,0.9962731912825084,0.9140893470790378
110,none,3,none,1,0.0,0.996400504623789,0.9175257731958762
111,none,3,none,1,0.0,0.996076434300529,0.9175257731958762
112,none,3,none,1,0.0,0.9960648603604124,0.9163802978235968
113,none,3,none,1,0.0,0.996342634923207,0.9198167239404352
114,none,3,none,1,0.0,0.9963079131028576,0.9243986254295532
115,none,3,none,1,0.0,0.9962963391627412,0.9140893470790378
116,none,3,none,1,0.0,0.996342634923207,0.9072164948453608
117,none,3,none,1,0.0,0.9962731912825084,0.9255441008018328
118,none,3,none,1,0.0,0.9962153215819262,0.9186712485681556
119,none,3,none,1,0.0,0.9963310609830904,0.9209621993127148
120,none,3,none,1,0.0,0.9962616173423918,0.8957617411225659
121,none,3,none,1,0.0,0.996319487042974,0.9072164948453608
122,none,3,none,1,0.0,0.9961458779412276,0.9369988545246276
123,none,3,none,1,0.0,0.996342634923207,0.8957617411225659
124,none,3,none,1,0.0,0.9962731912825084,0.9060710194730812
125,none,3,none,1,0.0,0.9961921737016932,0.9117983963344788
126,none,3,none,1,0.0,0.9964930961447206,0.9095074455899198
127,none,3,none,1,0.0,0.9960417124801796,0.9014891179839634
128,none,3,none,1,0.0,0.996319487042974,0.9232531500572738
129,none,3,none,1,0.0,0.9961805997615768,0.9095074455899198
130,none,3,none,1,0.0,0.9959606948993646,0.9221076746849944
131,none,3,none,1,0.0,0.996157451881344,0.9095074455899198
132,none,3,none,1,0.0,0.9962037476418096,0.9117983963344788
133,none,3,none,1,0.0,0.9963773567435562,0.9152348224513172
134,none,3,none,1,0.0,0.9966898531267,0.9049255441008018
135,none,3,none,1,0.0,0.9962963391627412,0.9243986254295532
136,none,3,none,1,0.0,0.996157451881344,0.9049255441008018
137,none,3,none,1,0.0,0.9963542088633234,0.9083619702176404
138,none,3,none,1,0.0,0.996481522204604,0.9060710194730812
139,none,3,none,1,0.0,0.9962616173423918,0.9186712485681556
140,none,3,none,1,0.0,0.9962847652226248,0.9106529209621992
141,none,3,none,1,0.0,0.9962268955220426,0.9140893470790378
142,none,3,none,1,0.0,0.9961690258214604,0.9175257731958762
143,none,3,none,1,0.0,0.9963889306836726,0.9347079037800688
144,none,3,none,1,0.0,0.996238469462159,0.9198167239404352
145,none,3,none,1,0.0,0.9961458779412276,0.9186712485681556
146,none,3,none,1,0.0,0.9960995821807618,0.9266895761741124
147,none,3,none,1,0.0,0.9964120785639056,0.9163802978235968
148,none,3,none,1,0.0,0.9963542088633234,0.9198167239404352
149,none,3,none,1,0.0,0.9963310609830904,0.9129438717067584
150,none,3,none,1,0.0,0.9961343040011112,0.9186712485681556
151,none,3,none,1,0.0,0.9963542088633234,0.9140893470790378
152,none,3,none,1,0.0,0.9962963391627412,0.9163802978235968
153,none,3,none,1,0.0,0.996319487042974,0.9175257731958762
154,none,3,none,1,0.0,0.9961343040011112,0.9358533791523482
155,none,3,none,1,0.0,0.9960648603604124,0.9037800687285223
156,none,3,none,1,0.0,0.9962847652226248,0.8980526918671249
157,none,3,none,1,0.0,0.9961805997615768,0.9209621993127148
158,none,3,none,1,0.0,0.9961458779412276,0.9129438717067584
159,none,3,none,1,0.0,0.9963657828034398,0.9301260022909508
160,none,3,none,1,0.0,0.9963079131028576,0.9095074455899198
161,none,3,none,1,0.0,0.996319487042974,0.9163802978235968
162,none,3,none,1,0.0,0.9961458779412276,0.9003436426116839
163,none,3,none,1,0.0,0.9963079131028576,0.8980526918671249
164,none,3,none,1,0.0,0.996400504623789,0.9129438717067584
165,none,3,none,1,0.0,0.996053286420296,0.9117983963344788
166,none,3,none,1,0.0,0.9964120785639056,0.9152348224513172
167,none,3,none,1,0.0,0.9958333815580838,0.9335624284077892
168,none,3,none,1,0.0,0.9961227300609946,0.9175257731958762
169,none,3,none,1,0.0,0.9962963391627412,0.9083619702176404
170,none,3,none,1,0.0,0.9961921737016932,0.9301260022909508
171,none,3,none,1,0.0,0.9960648603604124,0.9186712485681556
172,none,3,none,1,0.0,0.9963542088633234,0.9266895761741124
173,none,3,none,1,0.0,0.9961921737016932,0.9209621993127148
174,none,3,none,1,0.0,0.99627323441587,0.9139908256880734
175,none,3,none,1,0.0,0.9960070368741464,0.9231651376146788
176,none,3,none,1,0.0,0.996377398671327,0.908256880733945
177,none,3,none,1,0.0,0.9963658248651652,0.9151376146788992
178,none,3,none,1,0.0,0.9959954630679846,0.9025229357798163
179,none,3,none,1,0.0,0.9963311034466796,0.9071100917431192
180,none,3,none,1,0.0,0.9964584153144604,0.9243119266055044
181,none,3,none,1,0.0,0.9964005462836508,0.9208715596330276
182,none,3,none,1,0.0,0.9963889724774888,0.9105504587155964
183,none,3,none,1,0.0,0.9962153653850604,0.9197247706422018
184,none,3,none,1,0.0,0.9963658248651652,0.8864678899082569
185,none,3,none,1,0.0,0.9964005462836508,0.9220183486238532
186,none,3,none,1,0.0,0.9963195296405176,0.908256880733945
187,none,3,none,1,0.0,0.9960996273234416,0.9197247706422018
188,none,3,none,1,0.0,0.99627323441587,0.9094036697247706
189,none,3,none,1,0.0,0.9964005462836508,0.9254587155963304
190,none,3,none,1,0.0,0.9962269391912224,0.9105504587155964
191,none,3,none,1,0.0,0.9963079558343556,0.9174311926605504
192,none,3,none,1,0.0,0.9962385129973844,0.9185779816513762
193,none,3,none,1,0.0,0.9964005462836508,0.8944954128440367
194,none,3,none,1,0.0,0.9961459225480892,0.9162844036697247
195,none,3,none,1,0.0,0.996261660609708,0.8979357798165137
196,none,3,none,1,0.0,0.9963311034466796,0.9220183486238532
197,none,3,none,1,0.0,0.9962037915788986,0.9185779816513762
198,none,3,none,1,0.0,0.996041758292632,0.9185779816513762
199,none,3,none,1,0.0,0.9963079558343556,0.9151376146788992
200,none,4,none,1,0.0,0.9913889885533732,0.9255441008018328
201,none,4,none,1,0.0,0.9918750940382636,0.9003436426116839
202,none,4,none,1,0.0,0.991840372217914,0.9198167239404352
203,none,4,none,1,0.0,0.9918056503975649,0.9163802978235968
204,none,4,none,1,0.0,0.9917014849365168,0.9095074455899198
205,none,4,none,1,0.0,0.9922801819423386,0.9129438717067584
206,none,4,none,1,0.0,0.9919329637388457,0.9301260022909508
207,none,4,none,1,0.0,0.9915741715952362,0.9095074455899198
208,none,4,none,1,0.0,0.9916436152359348,0.9243986254295532
209,none,4,none,1,0.0,0.9921875904214073,0.9129438717067584
210,none,4,none,1,0.0,0.9918172243376812,0.9175257731958762
211,none,4,none,1,0.0,0.9917130588766334,0.9163802978235968
212,none,4,none,1,0.0,0.9918287982777976,0.9163802978235968
213,none,4,none,1,0.0,0.9919792594993112,0.9278350515463918
214,none,4,none,1,0.0,0.9918287982777976,0.9140893470790378
215,none,4,none,1,0.0,0.99204870314001,0.9175257731958762
216,none,4,none,1,0.0,0.9920602770801265,0.9152348224513172
217,none,4,none,1,0.0,0.9916551891760512,0.9289805269186712
218,none,4,none,1,0.0,0.9915047279545376,0.9221076746849944
219,none,4,none,1,0.0,0.9922917558824552,0.9243986254295532
220,none,4,none,1,0.0,0.9917593546370992,0.8969072164948454
221,none,4,none,1,0.0,0.9921644425411744,0.9072164948453608
222,none,4,none,1,0.0,0.9916320412958184,0.9255441008018328
223,none,4,none,1,0.0,0.9917477806969828,0.8934707903780069
224,none,4,none,1,0.0,0.9919213897987292,0.9152348224513172
225,none,4,none,1,0.0,0.9916088934155854,0.9175257731958762
226,none,4,none,1,0.0,0.9921181467807084,0.9095074455899198
227,none,4,none,1,0.0,0.9916320412958184,0.9049255441008018
228,none,4,none,1,0.0,0.9919908334394276,0.9243986254295532
229,none,4,none,1,0.0,0.9918750940382636,0.9175257731958762
230,none,4,none,1,0.0,0.9914931540144212,0.9152348224513172
231,none,4,none,1,0.0,0.991678337056284,0.9117983963344788
232,none,4,none,1,0.0,0.991782502517332,0.9106529209621992
233,none,4,none,1,0.0,0.991840372217914,0.9232531500572738
234,none,4,none,1,0.0,0.9922801819423386,0.9037800687285223
235,none,4,none,1,0.0,0.9917709285772156,0.9186712485681556
236,none,4,none,1,0.0,0.9918172243376812,0.9037800687285223
237,none,4,none,1,0.0,0.9917940764574484,0.9140893470790378
238,none,4,none,1,0.0,0.9918982419184964,0.9175257731958762
239,none,4,none,1,0.0,0.9917477806969828,0.9175257731958762
240,none,4,none,1,0.0,0.9918519461580306,0.9140893470790378
241,none,4,none,1,0.0,0.9919561116190784,0.9152348224513172
242,none,4,none,1,0.0,0.9916436152359348,0.9221076746849944
243,none,4,none,1,0.0,0.9919792594993112,0.9381443298969072
244,none,4,none,1,0.0,0.99204870314001,0.9163802978235968
245,none,4,none,1,0.0,0.9917362067568662,0.9140893470790378
246,none,4,none,1,0.0,0.9918750940382636,0.9243986254295532
247,none,4,none,1,0.0,0.991516301894654,0.9106529209621992
248,none,4,none,1,0.0,0.9920024073795444,0.9209621993127148
249,none,4,none,1,0.0,0.9918750940382636,0.9163802978235968
250,none,4,none,1,0.0,0.9918519461580306,0.9163802978235968
251,none,4,none,1,0.0,0.991863520098147,0.9163802978235968
252,none,4,none,1,0.0,0.9915394497748868,0.9186712485681556
253,none,4,none,1,0.0,0.991944537678962,0.9083619702176404
254,none,4,none,1,0.0,0.9917246328167498,0.9404352806414662
255,none,4,none,1,0.0,0.9918056503975649,0.9106529209621992
256,none,4,none,1,0.0,0.9915625976551198,0.9049255441008018
257,none,4,none,1,0.0,0.9917709285772156,0.9278350515463918
258,none,4,none,1,0.0,0.991597319475469,0.9140893470790378
259,none,4,none,1,0.0,0.9918982419184964,0.9301260022909508
260,none,4,none,1,0.0,0.9920371291998936,0.9198167239404352
261,none,4,none,1,0.0,0.9919098158586128,0.9152348224513172
262,none,4,none,1,0.0,0.991863520098147,0.8957617411225659
263,none,4,none,1,0.0,0.9916551891760512,0.8991981672394044
264,none,4,none,1,0.0,0.9919213897987292,0.9129438717067584
265,none,4,none,1,0.0,0.991944537678962,0.9095074455899198
266,none,4,none,1,0.0,0.99204870314001,0.9129438717067584
267,none,4,none,1,0.0,0.9917593546370992,0.9347079037800688
268,none,4,none,1,0.0,0.9915278758347704,0.9221076746849944
269,none,4,none,1,0.0,0.9916899109964004,0.9060710194730812
270,none,4,none,1,0.0,0.9918287982777976,0.9186712485681556
271,none,4,none,1,0.0,0.9914931540144212,0.9140893470790378
272,none,4,none,1,0.0,0.9919908334394276,0.9209621993127148
273,none,4,none,1,0.0,0.9917593546370992,0.9152348224513172
274,none,4,none,1,0.0,0.991678433369598,0.9128440366972476
275,none,4,none,1,0.0,0.9915511215018172,0.9243119266055044
276,none,4,none,1,0.0,0.9921413856160736,0.9105504587155964
277,none,4,none,1,0.0,0.9919214832989978,0.908256880733945
278,none,4,none,1,0.0,0.9915279738894932,0.9094036697247706
279,none,4,none,1,0.0,0.9917363024004074,0.9071100917431192
280,none,4,none,1,0.0,0.9916205643387884,0.9197247706422018
281,none,4,none,1,0.0,0.9920487951667786,0.9151376146788992
282,none,4,none,1,0.0,0.991898335686674,0.908256880733945
283,none,4,none,1,0.0,0.9917363024004074,0.9174311926605504
284,none,4,none,1,0.0,0.9920256475544548,0.8967889908256881
285,none,4,none,1,0.0,0.9917363024004074,0.9208715596330276
286,none,4,none,1,0.0,0.9922571236776928,0.9036697247706422
287,none,4,none,1,0.0,0.9916089905326264,0.9243119266055044
288,none,4,none,1,0.0,0.9917247285942457,0.9128440366972476
289,none,4,none,1,0.0,0.991909909492836,0.9254587155963304
290,none,4,none,1,0.0,0.991678433369598,0.9128440366972476
291,none,4,none,1,0.0,0.9921645332283976,0.9174311926605504
292,none,4,none,1,0.0,0.9916900071757598,0.9174311926605504
293,none,4,none,1,0.0,0.992095090391426,0.8990825688073395
294,none,4,none,1,0.0,0.9915395476956552,0.9128440366972476
295,none,4,none,1,0.0,0.991655285757274,0.9013761467889908
296,none,4,none,1,0.0,0.992002499942131,0.9277522935779816
297,none,4,none,1,0.0,0.991562695307979,0.9197247706422018
298,none,4,none,1,0.0,0.991458531052522,0.9197247706422018
299,none,4,none,1,0.0,0.9918520404620264,0.9128440366972476
300,none,5,none,1,0.0,0.9877431974166966,0.9301260022909508
301,none,5,none,1,0.0,0.9883218944225184,0.9014891179839634
302,none,5,none,1,0.0,0.9879746762190252,0.9221076746849944
303,none,5,none,1,0.0,0.9878242149975116,0.9117983963344788
304,none,5,none,1,0.0,0.9873728313329708,0.9095074455899198
305,none,5,none,1,0.0,0.9880788416800732,0.9095074455899198
306,none,5,none,1,0.0,0.9878820846980938,0.9335624284077892
307,none,5,none,1,0.0,0.987592736195183,0.9129438717067584
308,none,5,none,1,0.0,0.987592736195183,0.9301260022909508
309,none,5,none,1,0.0,0.9879283804585596,0.9221076746849944
310,none,5,none,1,0.0,0.9879052325783266,0.9106529209621992
311,none,5,none,1,0.0,0.9876621798358816,0.9175257731958762
312,none,5,none,1,0.0,0.987916806518443,0.9209621993127148
313,none,5,none,1,0.0,0.9880904156201896,0.9243986254295532
314,none,5,none,1,0.0,0.9879631022789088,0.9209621993127148
315,none,5,none,1,0.0,0.987835788937628,0.9198167239404352
316,none,5,none,1,0.0,0.9880788416800732,0.9221076746849944
317,none,5,none,1,0.0,0.9876043101352994,0.9209621993127148
318,none,5,none,1,0.0,0.987673753775998,0.9209621993127148
319,none,5,none,1,0.0,0.987835788937628,0.9243986254295532
320,none,5,none,1,0.0,0.9880672677399568,0.9049255441008018
321,none,5,none,1,0.0,0.9880556937998404,0.9083619702176404
322,none,5,none,1,0.0,0.9877779192370458,0.9232531500572738
323,none,5,none,1,0.0,0.9877200495364638,0.8991981672394044
324,none,5,none,1,0.0,0.9878589368178609,0.9152348224513172
325,none,5,none,1,0.0,0.9878936586382102,0.9152348224513172
326,none,5,none,1,0.0,0.9877663452969294,0.9140893470790378
327,none,5,none,1,0.0,0.9873612573928544,0.9072164948453608
328,none,5,none,1,0.0,0.9882524507818196,0.9209621993127148
329,none,5,none,1,0.0,0.9880556937998404,0.9140893470790378
330,none,5,none,1,0.0,0.987673753775998,0.9186712485681556
331,none,5,none,1,0.0,0.98756958831495,0.9186712485681556
332,none,5,none,1,0.0,0.9877316234765802,0.9095074455899198
333,none,5,none,1,0.0,0.9881945810812376,0.9209621993127148
334,none,5,none,1,0.0,0.9877431974166966,0.9060710194730812
335,none,5,none,1,0.0,0.9878589368178609,0.9243986254295532
336,none,5,none,1,0.0,0.9878010671172788,0.9037800687285223
337,none,5,none,1,0.0,0.9877894931771622,0.9117983963344788
338,none,5,none,1,0.0,0.987754771356813,0.9129438717067584
339,none,5,none,1,0.0,0.9880556937998404,0.9266895761741124
340,none,5,none,1,0.0,0.9875348664946008,0.9163802978235968
341,none,5,none,1,0.0,0.9879515283387924,0.9163802978235968
342,none,5,none,1,0.0,0.9879631022789088,0.9232531500572738
343,none,5,none,1,0.0,0.9879515283387924,0.9358533791523482
344,none,5,none,1,0.0,0.9878010671172788,0.9198167239404352
345,none,5,none,1,0.0,0.9877431974166966,0.9175257731958762
346,none,5,none,1,0.0,0.9877200495364638,0.9232531500572738
347,none,5,none,1,0.0,0.9873149616323884,0.9175257731958762
348,none,5,none,1,0.0,0.9879862501591417,0.9221076746849944
349,none,5,none,1,0.0,0.988020971979491,0.9106529209621992
350,none,5,none,1,0.0,0.9879283804585596,0.9186712485681556
351,none,5,none,1,0.0,0.9878936586382102,0.9163802978235968
352,none,5,none,1,0.0,0.9874191270934364,0.9163802978235968
353,none,5,none,1,0.0,0.9877316234765802,0.9163802978235968
354,none,5,none,1,0.0,0.987835788937628,0.9450171821305842
355,none,5,none,1,0.0,0.9876621798358816,0.9152348224513172
356,none,5,none,1,0.0,0.9879515283387924,0.9014891179839634
357,none,5,none,1,0.0,0.987916806518443,0.9255441008018328
358,none,5,none,1,0.0,0.9877779192370458,0.9117983963344788
359,none,5,none,1,0.0,0.9878010671172788,0.9301260022909508
360,none,5,none,1,0.0,0.9878126410573952,0.9186712485681556
361,none,5,none,1,0.0,0.9878589368178609,0.9175257731958762
362,none,5,none,1,0.0,0.9880325459196074,0.9014891179839634
363,none,5,none,1,0.0,0.9877200495364638,0.9014891179839634
364,none,5,none,1,0.0,0.9879631022789088,0.9152348224513172
365,none,5,none,1,0.0,0.9881135635004225,0.9083619702176404
366,none,5,none,1,0.0,0.9878589368178609,0.9083619702176404
367,none,5,none,1,0.0,0.9872918137521556,0.9381443298969072
368,none,5,none,1,0.0,0.98740755315332,0.9209621993127148
369,none,5,none,1,0.0,0.9877316234765802,0.9083619702176404
370,none,5,none,1,0.0,0.9877663452969294,0.9243986254295532
371,none,5,none,1,0.0,0.9877663452969294,0.9163802978235968
372,none,5,none,1,0.0,0.9881714332010046,0.9232531500572738
373,none,5,none,1,0.0,0.9878589368178609,0.9175257731958762
374,none,5,none,1,0.0,0.9876970440499062,0.9197247706422018
