,max_depth,min_samples_split,max_leaf_nodes,min_samples_leaf,min_impurity_decrease,accuracy_in_sample,accuracy_out_of_sample,auc
0,none,2,none,1,0.0,0.9999768521197672,0.9221076746849943,0.8476038171140939
1,none,2,none,1,0.0,0.9999768521197672,0.9014891179839634,0.8368506340562643
2,none,2,none,1,0.0,0.9999768521197672,0.9117983963344788,0.8310099998073256
3,none,2,none,1,0.0,0.9999768521197672,0.8934707903780069,0.8422366426676772
4,none,2,none,1,0.0,0.9999768521197672,0.9095074455899198,0.8460344827586207
5,none,2,none,1,0.0,0.9999768521197672,0.9175257731958762,0.8714484679665738
6,none,2,none,1,0.0,0.9999768521197672,0.9324169530355098,0.8838008248777283
7,none,2,none,1,0.0,0.9999768521197672,0.9129438717067583,0.8504751334593017
8,none,2,none,1,0.0,0.9999768521197672,0.8957617411225659,0.8254271045410286
9,none,2,none,1,0.0,0.9999768521197672,0.9095074455899198,0.8315757887517146
10,none,2,none,1,0.0,0.9999768521197672,0.9037800687285223,0.8511425812681043
11,none,2,none,1,0.0,0.9999768521197672,0.9175257731958762,0.8461541917512804
12,none,2,none,1,0.0,0.9999768521197672,0.9232531500572738,0.8668473351400181
13,none,2,none,1,0.0,0.9999768521197672,0.9289805269186713,0.8623573396300669
14,none,2,none,1,0.0,0.9999884260598836,0.9198167239404352,0.8355064817606271
15,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378,0.8419362697329956
16,none,2,none,1,0.0,0.9999768521197672,0.9095074455899198,0.8334275313727371
17,none,2,none,1,0.0,0.9999768521197672,0.9221076746849943,0.8539985623146734
18,none,2,none,1,0.0,0.9999768521197672,0.9186712485681557,0.8588923697022907
19,none,2,none,1,0.0,0.9999768521197672,0.9198167239404352,0.8337897096082636
20,none,2,none,1,0.0,0.9999768521197672,0.9186712485681557,0.8390327783751714
21,none,2,none,1,0.0,0.9999768521197672,0.9175257731958762,0.8547282065355891
22,none,2,none,1,0.0,0.9999768521197672,0.9037800687285223,0.8318412797417034
23,none,2,none,1,0.0,0.9999768521197672,0.9221076746849943,0.8416735394423023
24,none,2,none,1,0.0,0.9999768521197672,0.9083619702176403,0.820374066377235
25,none,2,none,1,0.0,0.9999768521197672,0.8946162657502864,0.8174965421853388
26,none,2,none,1,0.0,0.9999768521197672,0.9037800687285223,0.8446345031880498
27,none,2,none,1,0.0,0.9999768521197672,0.9347079037800687,0.8856738683127572
28,none,2,none,1,0.0,0.9999768521197672,0.9186712485681557,0.8358154363022235
29,none,2,none,1,0.0,0.9999768521197672,0.9026345933562429,0.866601752677702
30,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378,0.8516533381256178
31,none,2,none,1,0.0,0.9999768521197672,0.9198167239404352,0.8664766970618034
32,none,2,none,1,0.0,0.9999768521197672,0.9152348224513173,0.8509100488552543
33,none,2,none,1,0.0,0.9999768521197672,0.9152348224513173,0.8737804367835329
34,none,2,none,1,0.0,0.9999768521197672,0.9060710194730813,0.8234408024027586
35,none,2,none,1,0.0,0.9999768521197672,0.9060710194730813,0.8329508510231401
36,none,2,none,1,0.0,0.9999768521197672,0.9427262313860252,0.9036565772770548
37,none,2,none,1,0.0,0.9999768521197672,0.9163802978235968,0.8528611369990681
38,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378,0.8687525964994671
39,none,2,none,1,0.0,0.9999768521197672,0.9106529209621993,0.8346709470304976
40,none,2,none,1,0.0,0.9999768521197672,0.9129438717067583,0.8445775004216564
41,none,2,none,1,0.0,0.9999768521197672,0.9129438717067583,0.8496957123098201
42,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378,0.8547243831219489
43,none,2,none,1,0.0,0.9999768521197672,0.9163802978235968,0.8654052211182545
44,none,2,none,1,0.0,0.9999768521197672,0.9037800687285223,0.8344260399245632
45,none,2,none,1,0.0,0.9999768521197672,0.9106529209621993,0.8609530583214794
46,none,2,none,1,0.0,0.9999768521197672,0.9129438717067583,0.8400372786579683
47,none,2,none,1,0.0,0.9999768521197672,0.9117983963344788,0.8522827041264267
48,none,2,none,1,0.0,0.9999768521197672,0.9117983963344788,0.8570032800614139
49,none,2,none,1,0.0,0.9999768521197672,0.9243986254295533,0.8705510388437219
50,none,2,none,1,0.0,0.9999768521197672,0.9083619702176403,0.8263120500189466
51,none,2,none,1,0.0,0.9999768521197672,0.9186712485681557,0.8468505705813639
52,none,2,none,1,0.0,0.9999768521197672,0.9026345933562429,0.8257642124883504
53,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378,0.8568126397073765
54,none,2,none,1,0.0,0.9999768521197672,0.9095074455899198,0.8427211934156379
55,none,2,none,1,0.0,0.9999768521197672,0.9175257731958762,0.86567081604426
56,none,2,none,1,0.0,0.9999768521197672,0.9255441008018328,0.860199424856214
57,none,2,none,1,0.0,0.9999768521197672,0.9140893470790378,0.8662290982966089
58,none,2,none,1,0.0,0.9999768521197672,0.9186712485681557,0.8565564748399406
